pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
59,British Columbia,Colombie-Britannique,2020-04-29,,2087,0,109,2087,71210,1305,62.53,14042,34,1.66,41.15,2.15,4,5.22,2275,74,32.25,673,13.27,526,10.37,34,0.67,292,5.76,19,0.37,42,0.82,3,0.05
48,Alberta,Alberta,2020-04-29,,5165,0,87,5165,136511,1953,37.81,31229,315,6.49,118.16,1.99,7,1.68,4739,153,60.50,3125,71.49,3169,72.50,39,0.89,1764,40.35,21,0.48,252,5.76,3,0.07
47,Saskatchewan,Saskatchewan,2020-04-29,,383,0,6,383,27328,291,75.98,23269,17,4.64,32.61,0.51,1,1.57,413,0,22.45,86,7.32,79,6.73,2,0.17,57,4.85,2,0.17,8,0.69,0,0.02
46,Manitoba,Manitoba,2020-04-29,,263,10,6,273,23817,213,78.02,17391,1,0.37,19.93,0.44,0,2.20,438,4,19.78,54,3.94,27,1.97,1,0.07,16,1.17,0,0.00,2,0.17,0,0.00
35,Ontario,Ontario,2020-04-29,,15728,0,996,15728,255942,9612,61.11,17571,347,2.26,107.97,6.84,45,6.33,11176,648,32.55,5120,35.15,7281,49.98,611,4.19,3483,23.91,337,2.31,498,3.42,48,0.33
24,Quebec,Québec,2020-04-29,,26594,0,1761,26594,208979,6048,22.74,24629,837,3.25,313.42,20.75,79,6.62,4507,207,70.64,18785,221.39,11734,138.29,1274,15.01,5629,66.34,627,7.39,804,9.48,90,1.06
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-04-29,,258,0,3,258,8191,225,87.21,15705,0,0.00,49.47,0.58,0,1.16,286,3,11.63,30,5.75,11,2.11,0,0.00,2,0.38,0,0.00,0,0.05,0,0.00
13,New Brunswick,Nouveau-Brunswick,2020-04-29,,118,0,0,118,13121,114,96.61,16891,0,0.00,15.19,0.00,0,0.00,214,0,3.39,4,0.51,1,0.13,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-04-29,,935,0,28,935,28731,529,56.58,29577,20,2.19,96.25,2.88,1,2.99,623,7,40.43,378,38.91,386,39.74,25,2.57,163,16.78,16,1.65,23,2.40,2,0.24
11,Prince Edward Island,Île-du-Prince-Édouard,2020-04-29,,27,0,0,27,2810,24,88.89,17904,0,0.00,17.20,0.00,0,0.00,84,0,11.11,3,1.91,1,0.64,0,0.00,1,0.64,0,0.00,0,0.09,0,0.00
60,Yukon,Yukon,2020-04-29,,11,0,0,11,973,8,72.73,23817,0,0.00,26.93,0.00,0,0.00,20,0,27.27,3,7.34,3,7.34,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-04-29,,5,0,0,5,1608,5,100.00,35872,0,0.00,11.15,0.00,0,0.00,23,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,2020-04-29,,0,0,0,0,392,0,N/A,10108,0,0.00,0.00,0.00,0,,15,0,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-04-29,,13,0,,13,76,,,,0,0.00,,,,,0,,,,,0,,0,,0,,0,,0,,0,
1,Canada,Canada,2020-04-29,,51587,10,2996,51597,779613,20327,39.40,20740,1571,3.14,137.27,7.97,137,5.81,24813,1096,54.80,28274,75.22,23216,61.76,1986,5.28,11407,30.35,1022,2.72,1630,4.34,146,0.39
59,British Columbia,Colombie-Britannique,2020-04-30,,2112,0,111,2112,73479,1322,62.59,14489,25,1.20,41.65,2.19,2,5.26,2269,17,32.15,679,13.39,551,10.86,36,0.71,288,5.68,17,0.34,41,0.81,2,0.05
48,Alberta,Alberta,2020-04-30,,5355,0,89,5355,141060,2161,40.35,32269,190,3.68,122.50,2.04,2,1.66,4549,208,57.98,3105,71.03,3197,73.14,39,0.89,1635,37.40,22,0.50,234,5.34,3,0.07
47,Saskatchewan,Saskatchewan,2020-04-30,,389,0,6,389,27786,295,75.84,23658,6,1.57,33.12,0.51,0,1.54,458,4,22.62,88,7.49,84,7.15,2,0.17,58,4.94,2,0.17,8,0.71,0,0.02
